AOSNUMBER,Agency,Type of LEA,Summary,Type of Juris,Technology,Vendor
AOS001159,Hardin County Sheriff's Office,Sheriff,"The Hardin County Sheriff's Office has been using Wolfcom body-worn cameras since at least 2014. As of 2019, the office had 25 cameras.",County,Body-worn Cameras,Wolfcom
AOS004412,White County Sheriff's Office,Sheriff,"The White County Sheriff’s Office uses body-worn cameras, according to a 2018 report by the Illinois Law Enforcement Training and Standards Board.",County,Body-worn Cameras,Wolfcom
AOS004804,Moore Police Department,Police,The Moore Police Department received federal Justice Assistance Grant money to purchase 18 WolfCom body-worn cameras in 2014.,Municipal,Body-worn Cameras,WolfCom
AOS004807,Pawnee Police Department,Police,The Pawnee Police Department received federal Justice Assistance Grant money to purchase five Wolfcom body-worn cameras in 2014.,Municipal,Body-worn Cameras,Wolfcom
AOS006807,Hawthorne Police Department,Police,The Wolfcom Enterprises donated 40 body-worn cameras along with 40 software licenses and docking stations to the Hawthorne Police Department.,Municipal,Body-worn Cameras,Wolfcom
AOS006817,Socorro County Sheriff's Office,Sheriff,The Socorro County Fire Marshall’s Office purchased 34 body-worn-cameras from Wolfcom in August 2018 for the Socorro County Sheriff’s Office and Socorro Police Department.,County,Body-worn Cameras,Wolfcom
AOS006818,Socorro Police Department,Police,The Socorro County Fire Marshall’s Office purchased 34 body-worn-cameras from Wolfcom in August 2018 for the Socorro County Sheriff’s Office and Socorro Police Department.,Municipal,Body-worn Cameras,Wolfcom
AOS006820,Boone County Sheriff's Office,Sheriff,"The Boone County Sheriff's Office spent $17,700 on Wolfcom body-worn cameras in 2016.",County,Body-worn Cameras,Wolfcom
AOS006853,Archuleta County Sheriff's Office,Sheriff,"In 2017, the Archuleta County’s Sheriff’s Office spent $2,500 on body-worn cameras. In 2020, it budgeted an additional $60,000 for body-worn cameras.",County,Body-worn Cameras,Wolfcom
AOS006905,Azle Police Department,Police,"The Azle Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006906,Bella Villa Police Department,Police,"The Bella Villa Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006907,Ben Hill County Sheriff's Office,Sheriff,"The Ben Hill County Sheriff's Office uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",County,Body-worn Cameras,Wolfcom
AOS006908,Benton County Environmental Services,Environmental Services Enforcement,"Benton County Environmental Services uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",County,Body-worn Cameras,Wolfcom
AOS006909,Biltmore Forest Police Department,Police,"The Biltmore Forest Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006910,Bonanza Police Department,Police,"The Bonanza Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006911,Brantley Police Department,Police,"The Brantley Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006912,Brazoria Police Department,Police,"The Brazoria Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006913,Breckenridge Police Department,Police,"The Breckenridge Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006914,Calhoun County Sheriff's Office,Sheriff,"The Calhoun County Sheriff's Office uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",County,Body-worn Cameras,Wolfcom
AOS006915,Anthony Police Department,Police,"The Anthony Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006916,Norway Police Department,Police,"The Norway Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006917,Columbia College Police Department,Police,"The Columbia College Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",University,Body-worn Cameras,Wolfcom
AOS006918,Corrales Police Department,Police,"The Corrales Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006919,Daleville Police Department,Police,"The Daleville Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006920,Denton County Constables,Constables,"The Denton County Constables use Wolfcom body-worn cameras, according to a testimonial on the company's website.",County,Body-worn Cameras,Wolfcom
AOS006921,Dickson Police Department,Police,"The Dickson Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006922,Dumas Police Department,Police,"The Dumas Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006923,Eagle Point Police Department,Police,"The Eagle Point Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006924,Fayetteville Police Department,Police,"The Fayetteville Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006925,Fort Recovery Police Department,Police,"The Fort Recovery Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006926,Fyffe Police Department,Police,"The Fyffe Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006927,George County Sheriff's Department,Sheriff,"The George County Sheriff's Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",County,Body-worn Cameras,Wolfcom
AOS006928,Glacier County Sheriff's Office,Sheriff,"The Glacier County Sheriff's Office uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",County,Body-worn Cameras,Wolfcom
AOS006929,Hope Mills Police Department,Police,"The Hope Mills Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006930,Jamestown Police Department,Police,"The Jamestown Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006931,Kenton County Police Department,Police,"The Kenton County Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",County,Body-worn Cameras,Wolfcom
AOS006932,La Jolla Tribal Police Department,Police,"The La Jolla Tribal Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Tribal,Body-worn Cameras,Wolfcom
AOS006933,Lincoln Police Department,Police,"The Lincoln Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006934,Lindsay Police Department,Police,"The Lindsay Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006935,Los Lunas Police Department,Police,"The Los Lunas Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006936,Louisa Police Department,Police,"The Louisa Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006937,Major County Sheriff's Office,Sheriff,"The Major County Sheriff's Office uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",County,Body-worn Cameras,Wolfcom
AOS006938,Marmaduke Police Department,Police,"The Marmaduke Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006939,Milan Police Department,Police,"The Milan Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006940,Mississippi County Sheriff's Department,Sheriff,"The Mississippi County Sheriff's Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",County,Body-worn Cameras,Wolfcom
AOS006941,Moraine Valley Police Department,Police,"The Moraine Valley Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006942,Newport Police Department,Police,"The Newport Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006943,Niles Police Department,Police,"The Niles Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website. The Niles Police Department received an additional $13,225 grant for body-worn cameras from the Ohio Department of Public Safety in December 2022.",Municipal,Body-worn Cameras,Wolfcom
AOS006944,Noble Police Department,Police,"The Noble Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006945,North Ogden Police Department,Police,"The North Ogden Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006946,Osage City Police,Police,"The Osage City Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006947,Perryville Police Department,Police,"The Perryville Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006948,Pinehurst Police Department,Police,"The Pinehurst Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006949,Pueblo of Pojoaque Police Department,Police,"The Pueblo of Pojoaque Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Tribal,Body-worn Cameras,Wolfcom
AOS006950,Runnels County Sheriff's Department,Sheriff,"The Runnels County Sheriff's Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",County,Body-worn Cameras,Wolfcom
AOS006951,Rupert Police Department,Police,"The Rupert Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006952,Saguache County Sheriff's Office,Sheriff,"The Saguache County Sheriff's Office uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",County,Body-worn Cameras,Wolfcom
AOS006953,San Luis Police Department,Police,"The San Luis Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006954,Santa Paula Police Department,Police,"The Santa Paula Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006955,Shoshone County Sheriff's Office,Sheriff,"The Shoshone County Sheriff's Office uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",County,Body-worn Cameras,Wolfcom
AOS006956,Snowline Joint Unified School District Police Department,Police,"The Snowline Joint Unified School District Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",School District,Body-worn Cameras,Wolfcom
AOS006957,Solano Community College Police Department,Police,"The Solano Community College Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",University,Body-worn Cameras,Wolfcom
AOS006958,South Euclid Police Department,Police,"The South Euclid Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006959,Temple Police Department,Police,"The Temple Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006960,U.S. National Park Service - Lassen Volcanic National Park,Parks,"The U.S. National Park Service at Lassen Volcanic National Park uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Federal,Body-worn Cameras,Wolfcom
AOS006961,Titus County Sheriff's Office,Sheriff,"The Titus County Sheriff's Office uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",County,Body-worn Cameras,Wolfcom
AOS006962,University of Arkansas at Monticello Police,Police,"The University of Arkansas at Monticello Police uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",University,Body-worn Cameras,Wolfcom
AOS006963,University of Arkansas Police Department,Police,"The University of Arkansas Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",University,Body-worn Cameras,Wolfcom
AOS006964,Walker County Environmental Investigations,Environmental Services Enforcement,"The Walker County Environmental Investigations uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",County,Body-worn Cameras,Wolfcom
AOS006965,Ward Police Department,Police,"The Ward Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006966,Warrior Police Department,Police,"The Warrior Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",Municipal,Body-worn Cameras,Wolfcom
AOS006967,Black Hawk County Sheriff's Office,Sheriff,"In 2018, the Black Hawk County Sheriff's Office bought 34 Wolfcom body-worn cameras.",Municipal,Body-worn Cameras,Wolfcom
AOS006968,Hinds County Sheriff's Office,Sheriff,The Hinds County Sheriff's Office uses Wolfcom body-worn cameras.,County,Body-worn Cameras,Wolfcom
AOS006970,Marquette City Police Department,Police,The Marquette City Police Department purchased 35 Wolfcom body-worn cameras in 2013.,Municipal,Body-worn Cameras,Wolfcom
AOS006973,Moraine Valley College Police Department,Police,The Moraine Valley College Police Department purchased 10 Wolfcom body-worn cameras in 2015.,University,Body-worn Cameras,Wolfcom
AOS007176,Titus County Sheriff's Office,Sheriff,The Titus County Sheriff’s Office have used body-worn cameras since 2009. Deputies upgraded to Wolfcom- brand cameras in 2015.,County,Body-worn Cameras,Wolfcom
AOS007242,Texas Parks and Wildlife Department,State agency,The Texas Parks and Wildlife Department purchased Wolfcom body-worn cameras in 2013.,Statewide,Body-worn Cameras,Wolfcom
AOS007471,Dillingham Police Department,Police,"The Dillingham Police Department began using Wolfcom body-worn cameras in 2015. In 2018, it purchased eight new, upgraded BWCs.",Municipal,Body-worn Cameras,Wolfcom
AOS007516,Elbert County Sheriff's Office,Sheriff,The Elbert County Sheriff's Office uses Wolfcom body-worn cameras.,County,Body-worn Cameras,Wolfcom
AOS007597,Eddy County Sheriff's Office,Sheriff,The Eddy County Sheriff's Office purchased 37 Wolfcom body-worn cameras in 2016.,County,Body-worn Cameras,Wolfcom
AOS007654,Valley Police Department,Police,The Valley Police Department purchased seven Wolfcom body-worn cameras in 2016.,Municipal,Body-worn Cameras,Wolfcom
AOS007752,Fort Valley State University Police Department,Police,"The Fort Valley State University Police Department purchased eight Wolfcom body-worn cameras in 2019 at a cost of about $1,000 apiece.",University,Body-worn Cameras,Wolfcom
AOS007782,Texas Southern University Police Department,Police,The Texas Southern University Police Department received a donation of 40 Wolfcom body-worn cameras in 2015.,University,Body-worn Cameras,WOLFCOM
AOS008373,Niceville Police Department,Police,The Niceville Police Department acquired 24 Wolfcom body-worn cameras for all officers in 2015.,Municipal,Body-worn Cameras,Wolfcom
AOS009069,Boise County Sheriff's Office,Sheriff,Boise County Sheriff's Office has used body-worn cameras since at least 2017.,County,Body-worn Cameras,Wolfcom
AOS009070,Carbon County Sheriffs Department,Sheriff,Carbon County Sheriffs Department has been using body-worn cameras since at least 2015.,County,Body-worn Cameras,Wolfcom
AOS009074,Enid Police Department,Police,The Enid Police Department implemented the use of body-worn cameras in 2016.,Municipal,Body-worn Cameras,Wolfcom
AOS009078,Columbia College Police Department,Police,Columbia College Police Department has used Wolfcom body-worn cameras since at least 2019.,County,Body-worn Cameras,Wolfcom
AOS009079,Diboll Police Department,Police,Diboll Police Department received a grant for body-worn cameras in 2015.,Municipal,Body-worn Cameras,Wolfcom
AOS009081,Greer Police Department,Police,The Greer Police Department has used body-worn cameras since at least 2014.,Municipal,Body-worn Cameras,Wolfcom
AOS009086,Rio Arriba County Sheriff's Office,Sheriff,Rio Arriba County purchased Wolfcom body-worn cameras in 2018 and 2019.,County,Body-worn Cameras,Wolfcom
AOS009091,Thermopolis Police Department,Police,The Thermopolis Police Department has used body-worn cameras since at least 2019.,Municipal,Body-worn Cameras,Wolfcom
AOS009093,West Jefferson Police Department,Police,The West Jefferson Police Department purchased body-worn cameras in 2016.,Municipal,Body-worn Cameras,Wolfcom
AOS011734,Stillaguamish Tribe Police Department,Police,The Stillaguamish Tribe Police Department uses Wolfcom Halo body-worn cameras.,Tribal,Body-worn Cameras,Wolfcom
AOS012185,Marfa Police Department,Police,The Marfa Police Department uses Wolfcom body-worn cameras.,Muncipal,Body-worn Cameras,Wolfcom
AOS011727,Mescalero Conservation Law Enforcement Department,Fish and Game,The Mescalero Conservation Law Enforcement Department uses Wolfcam Halo body-worn cameras.,Tribal,Body-worn Cameras,Wolfcam
AOS000720,Brownsville Police Department,Police,"The Brownsville Department of Public Health and Brownsville Police Department purchased $118,642.70 worth of security cameras to prevent illegal dumping. These camera include automated license plate recognition technology.",Municipal,Automated License Plate Readers,Wireless CCTV
AOS000748,Laredo Police Department,Police,"The Laredo Police Department is in the process of purchasing ALPRs from Wireless CCTV, city council meeting minutes show. The systems will be paid for through Operation Stonegarden, a program that funds local law enforcement to cooperate with federal agencies in border operations. These ALPR trailers will be placed in high traffic areas along roads that the U.S. Border Patrol has identified as hot spots for smuggling.",Municipal,Automated License Plate Readers,Wireless CCTV
AOS000024,Canton Police Department,Police,"The Canton Police Department began using a Shotspotter gunshot detection system in 2013, but switched to Wi-fiber's gunshot detection technology in 2019.",Municipal,Gunshot Detection,Wi-fiber
AOS008971,Sheridan County Sheriff Department,Sheriff,The Sheridan County Sheriff's Office acquired WatchGuard body-worn cameras in 2020 to replace previously-acquired Axon body-worn cameras.,County,Body-worn Cameras,"WatchGuard, Axon"
AOS011676,Quinault Indian Nation Tribal Police Department,Police,The Quinault Indian Nation Tribal Police Department uses Watchguard body-worn cameras.,Tribal,Body-worn Cameras,Watchguard Vista
AOS002691,Madelia Police Department,Police,"The department uses five Axon body-worn cameras with Evidence.com cloud-based evidence management storage and three WatchGuard body-worn cameras with local file server storage. The department is in the process of transitioning from Axon to WatchGuard, according to a 2022 audit.",Municipal,Body-worn Cameras,WatchGuard and Axon
AOS000008,Newburgh Police Department,Police,The Newburgh Police Department began a body-worn camera program in 2015 and began with 20 cameras.,Municipal,Body-worn Cameras,WatchGuard
AOS000263,Gregg County Sheriff's Office,Sheriff,"The Gregg County Sheriff's Office budgeted $72,000 for body-worn cameras in 2020.",County,Body-worn Cameras,WatchGuard
AOS000272,Goddard Police Department,Police,The Goddard Police Department transitioned to WatchGuard body-worn cameras in 2018,Municipal,Body-worn Cameras,WatchGuard
AOS000290,Fremont Police Department,Police,The Fremont Police Department issued body-worn cameras to all sworn officers and non-sworn Animal Service Officers and Community Service Officers in November 2018.,Municipal,Body-worn Cameras,WatchGuard
AOS000364,Covington County Sheriff's Office,Sheriff,"The Covington County Sheriff's Office purchased 20 WatchGuard body-worn cameras for $18,000 in 2016.",County,Body-worn Cameras,WatchGuard
AOS000479,Des Moines Police Department,Police,The Des Moines Police Department obtained body-worn cameras in 2017.,Municipal,Body-worn Cameras,WatchGuard
AOS000492,Montgomery Police Department,Police,The Montgomery Police Department purchased 33 body-worn cameras in 2019,Municipal,Body-worn Cameras,Watchguard
AOS000580,Rochester Police Department,Police,"The Rochester Police Department purchased WatchGuard body-worn cameras in 2022, but it had previously received grants for BWCs as early as 2015.",Municipal,Body-worn Cameras,WatchGuard
AOS000586,Salamanca Police Department,Police,The Salamanca Police Department purchased eight body-worn cameras from WatchGuard in 2017.,Municipal,Body-worn Cameras,WatchGuard
AOS000610,Central Bucks Regional Police Department,Police,The Central Bucks Regional Police Department had 23 WatchGuard body-worn cameras in rotation as of 2018.,Municipal,Body-worn Cameras,WatchGuard
AOS000622,Pennsylvania State Police,Police,"The Pennsylvania State Police purchased its first 30 body-worn cameras from WatchGuard in 2017 with a $52,000 federal grant.",State,Body-worn Cameras,WatchGuard
AOS000649,New Braunfels Police Department,Police,The New Braunfels Police Department purchased 98 WatchGuard body-worn cameras in 2016 using a grant from the U.S. Department of Justice,Municipal,Body-worn Cameras,WatchGuard
AOS000728,El Paso Police Department,Police,The El Paso Police Department had 34 body-worn cameras as of 2019 and received a federal grant for additional BWCs in 2022.,Municipal,Body-worn Cameras,WatchGuard
AOS000739,Weslaco Police Department,Police,"With a $9,988 grant from the Texas Governor's office, the Weslaco Police Department purchased two WatchGuard body-worn camera systems for motorcycle police officers in 2018.",Municipal,Body-worn Cameras,WatchGuard
AOS001172,Chowchilla Police Department,Police,The Chowchilla Police Department uses WatchGuard body-worn cameras.,Municipal,Body-worn Cameras,WatchGuard
AOS001221,Orland Police Department,Police,"The Orland Police Department began using WatchGuard body-worn cameras in 2015, partially funded by the Paskenta Band of Nomlaki Indians.",Municipal,Body-worn Cameras,WatchGuard
AOS001236,Palos Verdes Estates Police Department,Police,"The Palos Verde Estates Police Department entered a 5-year contract with WatchGuard for $195,000 for body-worn cameras and in-vehicle cameras in 2022.",Municipal,Body-worn Cameras,WatchGuard
AOS001546,Palo Alto Police Department,Police,"Palo Alto Police department purchased 50 Vista HD body-worn cameras for $49,000 in 2018 and spent an additional $49,500 on cloud storage and accessories.",Municipal,Body-worn Cameras,WatchGuard
AOS001566,Pismo Beach Police Department,Police,The Pismo Beach Police Department upgraded to WatchGuard body-worn cameras in 2017.,Municipal,Body-worn Cameras,Watchguard
AOS001909,Ripon Police Department,Police,The Ripon Police Department uses WatchGuard body-worn cameras.,Municipal,Body-worn Cameras,WatchGuard
AOS001920,Scotts Valley Police Department,Police,The Scotts Valley Police Department uses WatchGuard body-worn cameras.,Municipal,Body-worn Cameras,WatchGuard
AOS001942,Sand City Police Department,Police,The Sand City Police Department uses WatchGuard body-worn cameras.,County,Body-worn Cameras,WatchGuard
AOS001997,Wauseon Police Department,Police,The Wauseon Police Department began using body-worn cameras in 2015.,Municipal,Body-worn Cameras,WatchGuard
AOS002008,Wickliffe Police Department,Police,The Wickliffe Police Department purchased four body-worn cameras in 2020.,Municipal,Body-worn Cameras,WatchGuard
AOS002162,Brule County Sheriff's Office,Sheriff,The Brule County Sheriff's Office received a Drug Forfeiture grant for WatchGuard body-worn cameras in 2020.,County,Body-worn Cameras,WatchGuard
