AOSNUMBER,City,County,State
AOS000272,Goddard,Sedgwick County,KS
AOS000290,Fremont,Alameda County,CA
AOS000364,Andalusia,Covington County,AL
AOS000479,Des Moines,"Warren County, Polk County",IA
AOS000492,Montgomery,"Kendall County, Kane County",IL
AOS000580,Rochester,Monroe County,NY
AOS000586,Salamanca,Cattaraugus County,NY
AOS000610,Doylestown,Bucks County,PA
AOS000622,Harrisburg,Dauphin County,PA
AOS000649,New Braunfels,"Guadalupe County, Comal County",TX
AOS000728,El Paso,El Paso County,TX
AOS000739,Weslaco,Hidalgo County,TX
AOS001172,Chowchilla,Madera County,CA
AOS001221,Orland,Glenn County,CA
AOS001236,Palos Verde Estates,Los Angeles County,CA
AOS001546,Palo Alto,Santa Clara County,CA
AOS001566,Pismo Beach,San Luis Obispo County,CA
AOS001909,Ripon,San Joaquin County,CA
AOS001920,Scotts Valley,Santa Cruz County,CA
AOS001942,Sand City,Monterey County,CA
AOS001997,Wauseon,Fulton County,OH
AOS002008,Wickliffe,Lake County,OH
AOS002162,Chamberlain,Brule County,SD
AOS002187,Whitewood,Lawrence County,SD
AOS002188,Eagle Butte,Dewey County,SD
AOS002191,Lake Norden,Hamlin County,SD
AOS002209,Acworth,Cobb County,GA
AOS002211,Canton,Cherokee County,GA
AOS002212,Carrollton,Carroll County,GA
AOS002215,Lawrenceville,Gwinnett County,GA
AOS002281,Pittsburgh,Allegheny County,PA
AOS002287,West Bountiful,Davis County,UT
AOS002324,Millcreek Township,Erie County,PA
AOS002607,Oak Park Heights,Washington County,MN
AOS002609,Starbuck,Pope County,MN
AOS002615,Benson,Swift County,MN
AOS002623,Woodbury,Washington County,MN
AOS002628,Cambridge,Isanti County,MN
AOS002634,Granite Falls,Yellow Medicine County,MN
AOS002642,East Grand Forks,Polk County,MN
AOS002651,Fairmont,Martin County,MN
AOS002655,Elk River,Sherburne County,MN
AOS002663,Nisswa,Crow Wing County,MN
AOS002665,Warroad,Roseau County,MN
AOS002668,Roseau,Roseau County,MN
AOS002670,Roseau,Roseau County,MN
AOS002672,Royalton,Morrison County,MN
AOS002674,Foley,Benton County,MN
AOS002678,Starbuck,Pope County,MN
AOS002683,Woodbury,Washington County,MN
AOS002684,Welch,Goodhue County,MN
AOS002685,Baxter,Crow Wing County,MN
AOS002692,Marshall,Lyon County,MN
AOS002694,"Excelsior, Greenwood, Shorewood, Tonka Bay",Hennepin County,MN
AOS002699,Virginia,Saint Louis County,MN
AOS002700,Oak Park Heights,Washington County,MN
AOS002703,Bayport,Washington County,MN
AOS002705,Willmar,Kandiyohi County,MN
AOS002707,Atwater,Kandiyohi County,MN
AOS002708,Long Prairie,Todd County,MN
AOS002829,Williams,Coconino County,AZ
AOS002847,Farmington,Davis County,UT
AOS002848,Logan,Cache County,UT
AOS002855,New Port Richey,Pasco County,FL
AOS002869,Centerville,Davis County,UT
AOS002870,Sandy City,Salt Lake County,UT
AOS002877,Dodge City,Ford County,KS
AOS002884,South Jordan,Salt Lake County,UT
AOS002887,Tooele City,Tooele County,UT
AOS002893,South Jordan,Salt Lake County,UT
AOS004387,Paxton,Ford County,IL
AOS004390,Peoria Heights,"Woodford County, Tazewell County, Peoria County",IL
AOS004399,Sesser,Franklin County,IL
AOS004694,Lyndhurst,Bergen County,NJ
AOS004794,Clinton,Custer County,OK
AOS004795,Davis,Murray County,OK
AOS004820,Newkirk,Kay County,OK
AOS004824,Roland,Sequoyah County,OK
AOS006833,Garden Grove,Orange County,CA
AOS007175,Seguin,Guadalupe County,TX
AOS007252,Atlanta,Cass County,TX
AOS007468,Lovelock,Pershing County,NV
AOS007495,Orono,Penobscot County,ME
AOS007496,South Portland,Cumberland County,ME
AOS007499,Houlton,Aroostook County,ME
AOS007576,Redmond,Deschutes County,OR
AOS007640,Fallon,Churchill County,NV
AOS007655,Kearney,Buffalo County,NE
AOS007661,Carlsbad,Eddy County,NM
AOS007719,Gainesville,Cooke County,TX
AOS007740,Riverside,Riverside County,CA
AOS007746,New Britain,Hartford County,CT
AOS008258,Chamblee,DeKalb County,GA
AOS008699,Carnegie,Allegheny County,PA
AOS008700,Pittsburgh,Allegheny County,PA
AOS008728,Woodhaven,Wayne County,MI
AOS008744,River Rouge,Wayne County,MI
AOS008747,Birmingham,Oakland County,MI
AOS008750,Clawson,Oakland County,MI
AOS008755,Chesterfield,Macomb County,MI
AOS008757,Allen Park,Wayne County,MI
AOS008762,Northville,Oakland County,MI
AOS008766,Van Buren,Wayne County,MI
AOS008876,Edmundson,St. Louis County,MO
AOS008878,University City,St. Louis County,MO
AOS009090,Temple Terrace,Hillsborough County,FL
AOS009115,Brownsburg,Hendricks County,IN
AOS009148,Bangor,Penobscot County,ME
AOS009149,Biddeford,York County,ME
AOS009150,Old Orchard Beach,Cumberland County,ME
AOS009155,DeQuincy,Calcasieu Parish,LA
AOS009157,Mesquite,Dallas County,TX
AOS009264,Sachse,Dallas County,TX
AOS009267,Shenandoah,Montgomery County,TX
AOS009283,Coon Rapids,Anoka County,MN
AOS009674,Conroe,Montgomery County,TX
AOS009678,Selma,"Comal County, Bexar County, Guadalupe County",TX
AOS009679,Schertz,"Comal County, Bexar County, Guadalupe County",TX
AOS009979,Nashville,Davidson County,TN
AOS010007,La Grange,Fayette County,TX
AOS010011,Converse,Bexar County,TX
AOS010016,Pomona,Los Angeles County,CA
AOS010027,Weatherford,Parker County,TX
AOS010080,Mansfield,Richland County,OH
AOS010106,Sacramento,Sacramento County,CA
AOS010112,Merced,Merced County,CA
AOS010113,Riverside,Riverside County,CA
AOS010114,San Diego,San Diego County,CA
AOS010860,Lansdale,Montgomery County,PA
AOS011078,Burnet,Burnet County,TX
AOS011079,Bartonville,Denton County,TX
AOS011220,Brentwood,Allegheny County,PA
AOS011226,Elkins Park,Montgomery County,PA
AOS011260,Davis,Yolo County,CA
AOS011306,York,York County,PA
AOS011317,Spring House,Montgomery County,PA
AOS011319,Harrisburg,Dauphin County,PA
AOS011373,Williamsport,Lycoming County,PA
AOS011397,Frederick,Montgomery County,PA
AOS011403,Reading,Berks County,PA
AOS011405,Elizabethtown,Lancaster County,PA
AOS011406,Wayne,Delaware County,PA
AOS011409,Allentown,Lehigh County,PA
AOS011411,Phoenixville,Chester County,PA
AOS011412,Phoenixville,Chester County,PA
AOS011413,Reading,Berks County,PA
AOS011414,Reading,Berks County,PA
AOS011416,Landenberg,Chester County,PA
AOS011417,Lansdale,Montgomery County,PA
AOS011420,Allentown,Lehigh County,PA
AOS011423,Fairless Hills,Bucks County,PA
AOS011425,Upper Saucon,Lehigh County,PA
AOS011427,West Chester,Chester County,PA
AOS011429,York,York County,PA
AOS011431,Lafayette Hill,Montgomery County,PA
AOS011434,Montgomeryville,Montgomery County,PA
AOS011445,Clinton,Allegheny County,PA
AOS011450,Bloomsburg,Columbia County,PA
AOS011452,Hyde,Clearfield County,PA
AOS011457,Williamsport,Lycoming County,PA
AOS011458,Green Lane,Montgomery County,PA
AOS011459,Stanford,Lincoln County,KY
AOS011532,Macomb,McDonough County,IL
AOS011537,Mooresville,Morgan County,IN
AOS011665,La Push,Clallam County,WA
AOS011666,Bayfield,Bayfield County,WI
AOS011667,Fort Hall,Bingham County,ID
AOS011688,Oakville,Grays Harbor County,WA
AOS011689,Mayetta,Jackson County,KS
AOS011720,Box Elder,Hill County,MT
AOS011729,Onamia,Mille Lacs County,MN
AOS011730,Warm Springs,Warm Springs County,OR
AOS011733,Darrington,Skagit County,WA
AOS011735,Isleta,Valencia County,NM
AOS011736,Akwesasne,Franklin County,NY
AOS011738,Agency Village,Roberts County,SD
AOS011745,Tulalip,Snohomish County,WA
AOS012009,North Pole,Fairbanks North Star Borough,AK
AOS012014,Mansfield,Tarrant County,TX
AOS012017,Midlothian,Ellis County,TX
AOS012025,Seguin,Guadalupe County,TX
AOS012175,Wenatchee,Chelan County,WA
AOS003033,Beaver,Beaver County,UT
AOS000001,Woodstock,Shenandoah County,VA
AOS001574,Sonora,Tuolumne County,CA
AOS000700,Yuma,Yuma County,AZ
AOS007578,Klamath Falls,Klamath County,OR
AOS007580,McDonough,Henry County,GA
AOS002687,Stillwater,Washington County,MN
AOS002689,Stillwater,Washington County,MN
AOS002693,Owatonna,Steele County,MN
AOS006823,Walker,Cass County,MI
AOS006860,Montclair,Essex County,NJ
AOS006861,Chino,San Bernardino County,CA
AOS011026,Kent,King County,WA
AOS011027,Villas,Lee County,FL
AOS011028,Lincoln,Lancaster County,NB
AOS011029,Sacramento,Sacramento County,CA
AOS011215,Bedford,Westchester County,NY
AOS000932,Modesto,Stanislaus County,CA
AOS000788,Burbank,Los Angeles County,CA
AOS000807,Coronado,San Diego County,CA
AOS000814,Downey,Los Angeles County,CA
AOS000828,Fresno,Fresno County,CA
AOS000832,Glendora,Los Angeles County,CA
AOS000854,Valencia,Los Angeles County,CA
AOS000896,Redwood City,San Mateo County,CA
AOS000907,San Bruno,San Mateo County,CA
AOS000916,San Mateo,San Mateo County,CA
AOS000925,Redding,Shasta County,CA
AOS000926,Signal Hill,Los Angeles County,CA
AOS000927,Fairfield,Solano County,CA
AOS007221,Gainesville,Alachua County,FL
AOS000885,Petaluma,Sonoma County,CA
AOS000919,San Ramon,Contra Costa County,CA
AOS000831,Glendale,Los Angeles County,CA
AOS000878,Oakley,Contra Costa County,CA
AOS004121,Warner Robins,Houston County,GA
AOS004127,Thomasville,Thomas County,GA
AOS004128,Marietta,Cobb County,GA
AOS004129,Byron,Peach County,GA
AOS004217,Redlands,San Bernardino County,CA
AOS004220,Round Rock,Williamson County,TX
AOS000802,Clovis,Fresno County,CA
AOS000829,Fresno,Fresno County,CA
AOS000938,Upland,San Bernardino County,CA
AOS005037,Pasadena,Los Angeles County,CA
AOS007623,Fort Worth,Tarrant County,TX
AOS000065,Seguin,Guadalupe County,TX
AOS000066,Seguin,Guadalupe County,TX
AOS000082,Grand Prairie,"Ellis County, Tarrant County, Dallas County",TX
AOS000130,Longmont,"Weld County, Boulder County",CO
AOS000131,Boulder,Boulder County,CO
AOS000132,Erie,"Weld County, Boulder County",CO
AOS000133,Louisville,Boulder County,CO
AOS000134,Commerce City,Adams County,CO
AOS000135,Thornton,"Weld County, Adams County",CO
AOS000136,Brighton,Adams County,CO
AOS000137,Lafayette,Boulder County,CO
AOS000138,Golden,Jefferson County,CO
AOS000139,Greenwood Village,Arapahoe County,CO
AOS000277,Phoenix,Maricopa County,AZ
AOS000279,Tempe,Maricopa County,AZ
AOS000280,Phoenix,Maricopa County,AZ
AOS000281,Glendale,Maricopa County,AZ
AOS000282,Mesa,Maricopa County,AZ
AOS000283,Paradise Valley,Maricopa County,AZ
AOS000284,Scottsdale,Maricopa County,AZ
AOS000771,Oakland,Alameda County,CA
AOS000772,Alameda,Alameda County,CA
AOS000774,Anaheim,Orange County,CA
AOS000775,Antioch,Contra Costa County,CA
AOS000776,Arcadia,Los Angeles County,CA
AOS000780,Beaumont,Riverside County,CA
AOS000781,Bell,Los Angeles County,CA
AOS000782,Belvedere,Marin County,CA
AOS000785,Brawley,Imperial County,CA
AOS000786,Brea,Orange County,CA
AOS000793,Cathedral City,Riverside County,CA
AOS000797,Chino,San Bernardino County,CA
AOS000798,Chowchilla,Madera County,CA
AOS000799,Chula Vista,San Diego County,CA
AOS000800,Clayton,Contra Costa County,CA
AOS000805,Corning,Tehama County,CA
AOS000806,Corona,Riverside County,CA
AOS000808,Costa Mesa,Orange County,CA
AOS000812,Desert Hot Springs,Riverside County,CA
AOS000813,Dixon,Solano County,CA
AOS000817,El Centro,Imperial County,CA
AOS000819,Placerville,El Dorado County,CA
AOS000820,El Segundo,Los Angeles County,CA
AOS000821,Elk Grove,Sacramento County,CA
AOS000822,Emeryville,Alameda County,CA
AOS000823,Escondido,San Diego County,CA
AOS000824,Fairfield,Solano County,CA
AOS000825,Fontana,San Bernardino County,CA
AOS000826,Fountain Valley,Orange County,CA
AOS000834,Hawthorne,Los Angeles County,CA
AOS000835,Hayward,Alameda County,CA
AOS000837,Hercules,Contra Costa County,CA
AOS000839,Hollister,San Benito County,CA
AOS000842,El Centro,Imperial County,CA
AOS000843,Imperial,Imperial County,CA
AOS000845,Inglewood,Los Angeles County,CA
AOS000846,Bakersfield,Kern County,CA
AOS000847,La Mesa,San Diego County,CA
AOS000849,Lincoln,Placer County,CA
AOS000850,Livermore,Alameda County,CA
AOS000851,Long Beach,Los Angeles County,CA
AOS000857,Madera,Madera County,CA
AOS000858,Madera,Madera County,CA
AOS000859,Manhattan Beach,Los Angeles County,CA
AOS000860,Manteca,San Joaquin County,CA
AOS000861,San Rafael,Marin County,CA
AOS000863,Merced,Merced County,CA
AOS000864,Mill Valley,Marin County,CA
AOS000868,Montebello,Los Angeles County,CA
AOS000869,Monterey Park,Los Angeles County,CA
AOS000873,Murrieta,Riverside County,CA
AOS000876,Novato,Marin County,CA
AOS000879,Ontario,San Bernardino County,CA
AOS000880,Oxnard,Ventura County,CA
AOS000883,Palos Verdes Estates,Los Angeles County,CA
AOS000884,Paso Robles,San Luis Obispo County,CA
AOS000889,Pittsburg,Contra Costa County,CA
AOS000890,Placentia,Orange County,CA
AOS000891,Auburn,Placer County,CA
AOS000892,Placerville,El Dorado County,CA
AOS000893,Pleasanton,Alameda County,CA
AOS000894,Port Hueneme,Ventura County,CA
AOS000895,Red Bluff,Tehama County,CA
AOS000897,Rio Vista,Solano County,CA
AOS000898,Ripon,San Joaquin County,CA
AOS000899,Riverside,Riverside County,CA
AOS000900,Riverside,Riverside County,CA
AOS000901,Rocklin,Placer County,CA
AOS000902,Rohnert Park,Sonoma County,CA
AOS000903,Roseville,Placer County,CA
AOS000904,Sacramento,Sacramento County,CA
AOS000905,Salinas,Monterey County,CA
AOS000906,San Bernardino,San Bernardino County,CA
AOS000911,French Camp,San Joaquin County,CA
AOS000914,Oceano,San Luis Obispo County,CA
AOS000915,Redwood City,San Mateo County,CA
AOS000917,San Pablo,Contra Costa County,CA
AOS000918,San Rafael,Marin County,CA
AOS000924,Santa Monica,Los Angeles County,CA
AOS000930,South Pasadena,Los Angeles County,CA
AOS000934,Yuba City,Sutter County,CA
AOS000935,Red Bluff,Tehama County,CA
AOS000936,Tulare,Tulare County,CA
AOS000937,Union City,Alameda County,CA
AOS000941,Ventura,Ventura County,CA
AOS000942,Ventura,Ventura County,CA
AOS000943,Vernon,Los Angeles County,CA
AOS000945,Walnut Creek,Contra Costa County,CA
AOS000946,West Covina,Los Angeles County,CA
AOS000947,West Sacramento,Yolo County,CA
AOS000948,Westminster,Orange County,CA
AOS000949,Westmorland,Imperial County,CA
AOS000950,Whittier,Los Angeles County,CA
AOS000951,Woodland,Yolo County,CA
AOS000952,Woodland,Yolo County,CA
AOS001163,Hollywood,Broward County,FL
AOS001177,Pembroke Pines,Broward County,FL
AOS001678,Huntsville,Walker County,TX
AOS002341,Freeport,Stephenson County,IL
AOS002832,Chino Hills,San Bernardino County,CA
AOS004103,Pleasant Hill,Contra Costa County,CA
AOS004104,Tiburon,Marin County,CA
AOS004105,Sausalito,Marin County,CA
AOS004106,Redondo Beach,Los Angeles County,CA
AOS004107,Newport Beach,Orange County,CA
AOS004108,Seal Beach,Orange County,CA
AOS004109,Tustin,Orange County,CA
AOS004110,Fullerton,Orange County,CA
AOS004111,Modesto,Stanislaus County,CA
AOS004112,Claremont,Los Angeles County,CA
AOS004113,Pomona,Los Angeles County,CA
AOS004114,American Canyon,Napa County,CA
AOS004115,San Diego,San Diego County,CA
AOS004116,Grand Junction,Mesa County,CO
AOS004117,Orlando,Orange County,FL
AOS004118,Miami Beach,Miami-Dade County,FL
AOS004119,Fort Lauderdale,Broward County,FL
AOS004120,Gainesville,Alachua County,FL
AOS004122,Sparks,Cook County,GA
AOS004123,Augusta,Richmond County,GA
AOS004124,Doraville,DeKalb County,GA
AOS004125,Tybee Island,Chatham County,GA
AOS004126,Alma,Bacon County,GA
AOS004130,Cedartown,Polk County,GA
AOS004131,Blairsville,Union County,GA
AOS004132,Ludowici,Long County,GA
AOS004133,Loganville,Walton County,GA
AOS004134,Ball Ground,Cherokee County,GA
AOS004135,Cedar Rapids,Linn County,IA
AOS004136,New Lenox,Will County,IL
AOS004137,Elmhurst,DuPage County,IL
AOS004138,Lombard,DuPage County,IL
AOS004139,Burr Ridge,DuPage County,IL
AOS004140,Indianapolis,Marion County,IN
AOS004142,Grosse Ile,Wayne County,MI
AOS004143,New Brighton,Ramsey County,MN
AOS004144,Mounds View,Ramsey County,MN
AOS004145,Webster Groves,St. Louis County,MO
AOS004146,Overland,St. Louis County,MO
AOS004147,Kirkwood,St. Louis County,MO
AOS004148,Osage Beach,Camden County,MO
AOS004149,Poplar Bluff,Butler County,MO
AOS004150,Sparks,Washoe County,NV
AOS004151,Reno,Washoe County,NV
AOS004152,New York City,"Richmond County, Queens County, Bronx County, Kings County, New York County",NY
AOS004153,Kingston,Ulster County,NY
AOS004154,Salamanca,Cattaraugus County,NY
AOS004155,Buffalo,Erie County,NY
AOS004156,Beachwood,Cuyahoga County,OH
AOS004157,Salem,"Polk County, Marion County",OR
AOS004158,Allen,Collin County,TX
AOS004159,Port Arthur,Jefferson County,TX
AOS004160,Missouri City,Fort Bend County,TX
AOS004161,Deer Park,‎Harris County‎,TX
AOS004162,Pearland,Brazoria County,TX
AOS004163,Woodway,McLennan County,TX
AOS004164,Wenatchee,Chelan County,WA
AOS004165,Buena Park,Orange County,CA
AOS004166,Santa Ana,Orange County,CA
AOS004167,Laguna Beach,Orange County,CA
AOS004168,Brentwood,Contra Costa County,CA
AOS004169,Coppell,Dallas County,TX
AOS004170,Galt,Sacramento County,CA
AOS004171,Indianapolis,Marion County,IN
AOS004172,Lodi,San Joaquin County,CA
AOS004173,Folsom,Sacramento County,CA
AOS004174,San Diego,San Diego County,CA
AOS004175,Clackamas,Clackamas County,OR
AOS004176,Simi Valley,Ventura County,CA
AOS004177,Pasadena,Los Angeles County,CA
AOS004178,Garden Grove,Orange County,CA
AOS004179,Griffith,Lake County,IN
AOS004180,Cypress,Orange County,CA
AOS004181,College Station,Brazos County,TX
AOS004182,College Park,Fulton County,GA
AOS004184,La Habra,Orange County,CA
AOS004185,Gurnee,Lake County,IL
AOS004186,Lake Mills,Jefferson County,WI
AOS004188,Raleigh,Wake County,NC
AOS004189,Norwich,Chenango County,NY
AOS004190,Natick,Middlesex County,MA
AOS004191,Monroe,Fairfield County,CT
AOS004192,Tracy,San Joaquin County,CA
AOS004193,Hudson,Croix County,WI
AOS004194,Hermosa Beach,Los Angeles County,CA
AOS004195,Beverly Hills,Los Angeles County,CA
AOS004196,San Bernardino,San Bernardino County,CA
AOS004197,Dublin,Franklin County,OH
AOS004198,Martinez,Contra Costa County,CA
AOS004199,Bakersfield,Kern County,CA
AOS004200,St. Charles,St. Charles County,MO
AOS004201,Fullerton,Orange County,CA
AOS004202,Irvine,Orange County,CA
AOS004203,Denton,Denton County,TX
AOS004204,Palm Springs,Riverside County,CA
AOS004205,Orange,Orange County,CA
AOS004207,Lauderhill,Broward County,FL
AOS004208,St. Paul,Ramsey County,MN
AOS004209,Kansas City,"Cass County, Platte County, Clay County, Jackson County",MO
AOS004210,Sacramento,Sacramento County,CA
AOS004211,Loves Park,Boone County,IL
AOS004212,Gainesville,Alachua County,FL
AOS004213,Martinez,Contra Costa County,CA
AOS004214,Gardena,Los Angeles County,CA
AOS004215,San Francisco,San Francisco County,CA
AOS004216,Alamo Heights,Bexar County,TX
AOS004218,Elkton,Cecil County,MD
AOS004219,Sacramento,Sacramento County,CA
AOS004221,La Palma,Orange County,CA
AOS004222,Auburn,Placer County,CA
AOS004223,La Verne,Los Angeles County,CA
AOS004224,Killeen,Bell County,TX
AOS004225,Homer,Banks County,GA
AOS004226,Naperville,DuPage County,IL
AOS004227,Midland,Midland County,TX
AOS004228,Dillard,Rabun County,GA
AOS004229,Bell Gardens,Los Angeles County,CA
AOS004230,Sacramento,Sacramento County,CA
AOS004231,Carlsbad,San Diego County,CA
AOS004232,Miami,Miami-Dade County,FL
AOS004233,Stockton,San Joaquin County,CA
AOS004234,San Mateo,San Mateo County,CA
AOS004235,Kings Point,Nassau County,NY
AOS004236,Torrance,Los Angeles County,CA
AOS004237,Downers Grove,DuPage County,IL
AOS004238,Citrus Heights,Sacramento County,CA
AOS004437,Vancouver,Clark County,WA
AOS006862,West Trenton,Mercer County,NJ
AOS006863,Wylie,"Rockwall County, Dallas County, Collin County",TX
AOS006864,Indianapolis,Marion County,IN
AOS006865,Wichita Falls,Wichita County,TX
AOS006866,Burr Ridge,DuPage County,IL
AOS007041,Las Vegas,Clark County,NV
AOS007466,Las Vegas,Clark County,NV
AOS007541,Hoover,"Shelby County, Jefferson County",AL
AOS007542,Bessemer,Jefferson County,AL
AOS007543,Auburn,Lee County,AL
AOS007544,Birmingham,Jefferson County,AL
AOS007566,Coral Springs,Broward County,FL
AOS007570,Oak Brook,DuPage County,IL
AOS007571,Hickory Hills,Cook County,IL
AOS007572,Elk Grove Village,Cook County,IL
AOS007642,Hammond,Lake County,IN
AOS007643,Munster,Lake County,IN
AOS007646,Noblesville,Hamilton County,IN
AOS007691,Chicago,Cook County,IL
AOS007817,Indian Creek Village,Miami-Dade County,FL
AOS007818,Midlothian,Ellis County,TX
AOS007819,Hogansville,Troup County,GA
AOS007821,Denver,Denver County,CO
AOS007822,Covington,Newton County,GA
AOS007823,Foley,Baldwin County,AL
AOS007824,Acworth,Cobb County,GA
AOS007825,Douglasville,Douglas County,GA
AOS007863,Addison,DuPage County,IL
AOS007866,Lansing,Cook County,IL
AOS007868,Mount Prospect,Cook County,IL
AOS007870,Orland Park,Cook County,IL
AOS007872,Lemont,Will County,IL
AOS007874,South Holland,Cook County,IL
AOS008247,Brookhaven,DeKalb County,GA
AOS008252,Roswell,Fulton County,GA
AOS008730,Canton,Wayne County,MI
AOS009132,Cedar Hill,Dallas County,TX
AOS009134,Austin,Travis County,TX
AOS009146,Plano,Collin County,TX
AOS009147,Indianapolis,Marion County,IN
