ship,flag,sunk_date,sunk_year,notes,lat,long
HMHS Rewa,United Kingdom,4-Jan-18,1918,A hospital ship torpedoed by German submarine U-55.,50.917,-4.817
UB-58,Imperial German Navy,10-Mar-18,1918,A Type UB III U-boat that was sunk by a mine.,50.967,1.233
UC-64,Imperial German Navy,20-Jun-18,1918,A German minelaying submarine sunk by a mine off the Varne Bank.,50.967,-1.383
UB-55,Imperial German Navy,22-Apr-18,1918,A Type UB III U-boat that was sunk by a mine.,50.983,1.333
UB-115,Imperial German Navy,29-Sep-18,1918,A Type UB III U-boat that was sunk by British forces off Newton-by-the-Sea.,55.241,-1.374233
HMS G11,Royal Navy,22-Nov-18,1918,A G-class submarine that ran aground near Howick.,55.452,-1.589
HMS Ascot,Royal Navy,10-Nov-18,1918,A Racecourse-class minesweeper that was torpedoed by UB-67 off the Farne Islands.,55.6192333,-1.4857222
HMS Erin's Isle,Royal Navy,7-Nov-19,1919,A paddle steamer that was sunk by a mine north of Thanet.,51.55,1.317
Abessinia,Germany,3-Sep-21,1921,A German steamer wrecked on the Farne Islands.,55.64633,-1.6045
Hopelyn,United Kingdom,17-Oct-22,1922,A merchant vessel that was stranded on the Scroby Sands.,52.617,1.783
Adolf Vinnen,German Empire,9-Feb-23,1923,A barquentine that was driven ashore at Bass Point.,49.96472,-5.18333
HMS L24,Royal Navy,10-Jan-24,1924,An L-class submarine that collided with HMS Resolution off Portland Bill.,50.375,-2.62983
HMS M1,Royal Navy,12-Nov-25,1925,An M-class submarine that collided with the SS Vidar in the English Channel.,49.983,-3.933
Georgia,Netherlands,20-Nov-27,1927,An oil tanker that ran aground on Haisborough Sands.,52.88167,1.77111
HMS M2,Royal Navy,26-Jan-32,1932,A British aircraft-carrying submarine shipwrecked in Lyme Bay.,50.57611,-2.54861
Monte Nevoso,Italy,14-Oct-32,1932,A merchant vessel that ran aground on Haisborough Sands.,52.85,1.767
Cantabria,Spain,2-Nov-38,1938,"A Spanish cargo ship that was sunk by the Spanish Nationalist auxiliary cruiser Nadir northeast of Cromer, during the Spanish Civil War.",53.03278,1.5325
Herzogin Cecilie,Finland,18-Jan-39,1939,A German-built barque that was beached at the Kingsbridge Estuary and later capsized.,50.21367,-3.78367
SS Louis Sheid,Belgium,7-Dec-39,1939,A Belgian steamer that ran aground near Thurlestone.,50.260967,-3.86385
U-40,Kriegsmarine,13-Oct-39,1939,A German submarine sunk by a mine off Eastbourne.,50.7,0.25
U-16,Kriegsmarine,25-Oct-39,1939,A German submarine that ran aground while under attack from HMS Puffin and HMS Cayton Wyke.,51.15,1.467
U-12,Kriegsmarine,8-Oct-39,1939,A German submarine sunk by a mine off Dover.,51.167,1.5
Mahratta (1917),United Kingdom,9-Oct-39,1939,A steamship that ran aground and broke in two.,51.24583,1.50139
Terukuni Maru,Japan,19-Nov-39,1939,A Japanese ocean liner that struck a German mine off Harwich.,51.833,1.5
Phryné,France,24-Sep-39,1939,A cargo ship that was sunk by mine off Aldeburgh.,52.15,1.717
Magdapur,United Kingdom,10-Sep-39,1939,A cargo ship that struck a mine off Thorpeness.,52.183,1.717
Mount Ida,Greece,9-Oct-39,1939,A merchant vessel that ran aground on Ower Bank.,53.17889,1.92944
Ionic Star,United Kingdom,1939,1939,Ionic Star was a Blue Star Line cargo ship crashed on the mad wharf sandbank (a mile from Formby point) on a journey from Rio to Liverpool. Her cargo was salvaged and later used as target practice for the Royal Air Force.,53.5470396,-3.1206322
MS Piłsudski,Poland,26-Nov-39,1939,A Polish ocean liner sunk off Grimsby.,53.7625,0.76117
HMT Elk,Royal Navy,27-Nov-40,1940,A former fishing trawler sunk by a mine off Plymouth.,50.296667,-4.176667
Leander,Germany,8-Aug-40,1940,"A German coastal trading vessel captured by the Royal Navy, and bombed by German aircraft off St. Catherine's Point.",50.43111,-1.70444
HMS Swordfish,Royal Navy,7-Nov-40,1940,An S-class submarine sunk when she struck a mine 12 nautical miles (22 km) S of St. Catherine's Point.,50.467,-1.35
HMS Acheron,Royal Navy,17-Dec-40,1940,An A-class destroyer sunk by a mine off St. Catherine's Point.,50.533,-1.433
HMS Delight,Royal Navy,29-Jul-40,1940,A D-class destroyer sunk by German dive bombers off the Isle of Portland.,50.57361,-2.43361
HMS Foylebank,Royal Navy,5-Jul-40,1940,"A merchant ship converted into an anti-aircraft ship, sunk by German Stuka off the Isle of Portland.",50.57694,-2.41944
HMS Brazen,Royal Navy,20-Jul-40,1940,A B-class destroyer sunk by German dive bombers off Folkestone.,51.01806,1.2875
HMS Codrington,Royal Navy,27-Jul-40,1940,An A-class destroyer bombed whilst in dock at Dover.,51.12556,1.33444
HMT Amethyst,Royal Navy,24-Nov-40,1940,A naval trawler sunk in the Thames Estuary.,51.50778,1.02083
U-13,Kriegsmarine,31-May-40,1940,A Type IIB U-boat that was sunk by HMS Weston 11 nautical miles (20 km) southeast of Lowestoft.,52.433,2.033
Oslofjord,Norway,1-Dec-40,1940,An ocean liner that hit a mine off South Shields.,55.00283,-1.39533
HMS Unity,Royal Navy,29-Apr-40,1940,A U-class submarine that collided with Atle Jarl off Blyth.,55.217,-1.317
Gasfire,United Kingdom,21-Jun-41,1941,A steam collier that was sunk by a mine east of Southwold.,52.33,1.95
HMS Exmoor,Royal Navy,25-Feb-41,1941,A Hunt-class destroyer that was attacked by E-boats and capsized off Lowestoft.,52.5,2.067
HMT Force,Royal Navy,27-Jun-41,1941,A naval trawler that was sunk by German aircraft off Winterton Ness.,52.81528,1.79667
Meriones,United Kingdom,22-Jan-41,1941,"A merchant vessel that was stranded on the wreck of the SS Monte Nevoso at Haisborough Sands, and then bombed by German aircraft.",52.85,1.75
HMT Agate,Royal Navy,6-Aug-41,1941,A trawler that ran aground on Haisborough Sands.,52.883,1.717
Gallois,United Kingdom,6-Aug-41,1941,A merchant vessel that ran aground on Haisborough Sands.,52.9,1.717
HMS Umpire,Royal Navy,19-Jul-41,1941,A U-class submarine that collided with the Peter Hendriks off Blakeney.,53.15,1.1
HMS Penylan,Royal Navy,3-Dec-42,1942,A Hunt-class destroyer sunk by E-boats off Start Point.,50.133,-3.65
SS Staghound,Royal Navy,27-Mar-42,1942,Distilling ship bombed off Devon coast; salvaged and towed to Woodspring Bay for trials and target practice.,51.406,-2.913
SS Fernwood,Royal Navy,18-Sep-42,1942,"A collier hit by bombs off Dartmouth; towed to Woodspring Bay, near Weston, for trials and target practice . The MOD base at St Thomas Head used the vessel for trials after WW2.",51.407,-2.907
SS Empire Bay,United Kingdom,15-Jan-42,1942,A collier that was bombed by German aircraft off Middlesbrough.,54.68556,-1.14333
U-214,Kriegsmarine,26-Jul-44,1944,A Type VIID U-boat that was sunk by HMS Cooke southeast of Salcombe.,49.967,-3.5
U-269,Kriegsmarine,25-Jun-44,1944,A German submarine sunk by HMS Bickerton off Torquay.,50.017,-2.983
HMS Loyalty,Royal Navy,22-Aug-44,1944,An Algerine-class minesweeper sunk by U-480.,50.15,-0.683
USS Osprey,United States Navy,5-Jun-44,1944,A Raven-class minesweeper sunk by a mine.,50.2,-1.333
HMCS Alberni,Royal Canadian Navy,21-Aug-44,1944,A Flower-class corvette sunk by U-480 off St. Catherine's Point.,50.3,-0.85
U-413,Kriegsmarine,20-Aug-44,1944,A German submarine sunk by a mine 15 nautical miles (28 km) south of Brighton.,50.35,-0.017
U-322,Kriegsmarine,19-Dec-44,1944,A Type VIIC U-boat that was sunk by HMCS Calgary south of Weymouth.,50.417,-2.433
USS LST-507,United States Navy,28-Apr-44,1944,A tank landing ship sunk by German E-boats off the Isle of Portland.,50.4525,-2.72583
Albert C. Field,Canada,18-Jun-44,1944,A Canadian ship sunk by a torpedo from a German aircraft off St. Catherine's Point.,50.467,-1.75
HMS Boadicea,Royal Navy,13-Jun-44,1944,A B-class destroyer sunk by aerial torpedoes dropped by Junkers Ju 88 dive bombers off the Isle of Portland.,50.47,-2.49167
HMCS Regina,Royal Canadian Navy,8-Aug-44,1944,A Flower-class corvette that was torpedoed by U-667 north of Trevose Head.,50.7,-5.05
HMS Vernon,Royal Navy,1944,1944,Sunk off Weston-super-mare for target training and 'blockship' trials.,51.406,-2.905
Richard Montgomery,United States,20-Aug-44,1944,"A Liberty ship that ran aground off the Nore in the Thames Estuary with over a thousand tons of explosives on board. A protected wreck site, designated as dangerous.",51.46583,0.78667
U-650,Kriegsmarine,Jan-45,1945,A Type VIIC U-boat that was sunk by Allied forces southwest of Lizard Point.,49.85167,-5.48583
SS Corvus,Norway,27-Feb-45,1945,A steam merchant that was torpedoed by U-1018 off Lizard Point.,49.917,-5.367
U-1018,Kriegsmarine,27-Feb-45,1945,A Type VIIC/41 U-boat that was sunk by HMS Loch Fada in the English Channel.,49.933,-5.333
U-1199,Kriegsmarine,21-Jan-45,1945,A Type VIIC/41 U-boat that was sunk by HMS Icarus and HMS Mignonette south of Gwennap Head.,49.95,-5.7
HMCS Trentonian,Royal Canadian Navy,22-Feb-45,1945,A Flower-class corvette that was torpedoed by U-1004 near Falmouth.,50.1,-4.833
U-1063,Kriegsmarine,15-Apr-45,1945,A German submarine sunk by HMS Loch Killin off Salcombe.,50.14833,-3.89
SS Persier,Belgium,11-Feb-45,1945,A cargo ship that was torpedoed by U-1017 off the Eddystone Rocks.,50.28333,-3.97083
SS James Eagan Layne,United States,21-Mar-45,1945,"A Liberty ship, situated in 22 metres (72 ft) of water in Whitsand Bay next to the wreck of HMS Scylla.",50.3267,-4.245233
U-480,Kriegsmarine,Feb-45,1945,A German submarine sunk by a mine.,50.36778,-1.73611
U-1021,Kriegsmarine,14-Mar-45,1945,A Type VIIC/41 U-boat that was sunk by a mine 7 nautical miles (13 km) off Newquay.,50.555,-5.1933
U-1195,Kriegsmarine,7-Apr-45,1945,A German submarine sunk by HMS Watchman.,50.5561833,-0.9382806
HMS Safari,Royal Navy,8-Jan-46,1946,An S-class submarine that sunk while under tow to be scrapped.,50.42611,-2.04833
SS Torrey Canyon,Liberia,18-Mar-67,1967,A supertanker wrecked on Seven Stones reef.,50.04167,-6.12883
Sitakund,Norway,20-Oct-68,1968,A Norwegian motor tanker that exploded off the coast of Eastbourne.,50.719,0.24
Glen Strathallen,United Kingdom,Apr-70,1970,A luxury yacht sunk as an underwater training facility near Fort Bovisand.,50.315367,-4.125483
Wittering,United Kingdom,25-Feb-76,1976,"A British Cargo Ship sunk after a collision, 11.5 nautical miles (21.3 km) off Beachy Head. Attended by Hastings Lifeboat.",50.717,-0.617
Aeolian Sky,Greece,4-Nov-79,1979,"A Greek freighter that collided with another ship near the Channel Islands, and sank off St Alban's Head.",50.50917,-2.13883
Maria Asumpta,United Kingdom,30-May-95,1995,A brig that struck rocks at Rump Point.,50.594556,-4.924389
MV RMS Mulheim,Antigua and Barbuda,22-Mar-03,2003,German cargo ship that ran ashore at Land's End. Five crew members were airlifted to safety.,50.07639,-5.7125
HMS Scylla,Royal Navy,27-Mar-04,2004,A type F71 Frigate sunk to create an artificial reef for divers and marine life by the National Marine Aquarium.[1],50.327583,-4.2527
Riverdance,Bahamas,31-Jan-08,2008,A RO-RO ferry that ran aground on Blackpool beach and was finally scrapped in place after refloating attempts failed.,53.873182,-3.052444
Cattewater Wreck,Unknown,16th century (probable),1599,"Wooden ship, first to be protected under Protection of Wrecks Act 1973.",50.36194,-4.12833
Princes Channel Wreck,Unknown,16th century (probable),1599,An Elizabethan wreck discovered in the Thames Estuary in 2004.,51.491075,1.111873
The Blackfriar I,Unknown,2nd century (probable),199,A small sailing ship discovered in Blackfriars along the banks of the Thames.,51.5109,-0.1038
Wheel Wreck,Unknown,Unknown,0,"An unidentified shipwreck located off Little Ganinick, believed to date from around 1835.",49.945,-6.276
Seaton Carew Wreck,Unknown,Unknown,0,A protected wreck lying in the intertidal zone at Seaton Carew.,54.65806,-1.18028
