Wreck_Name,Wreck_No,Classification,Place_of_Loss,Date_of_Loss,DD_Lat,DD_Long,Source_of_Co_ordinate,Description,Record_Source,Date_of_Loss_Year_Only
Kolchis (SS),W09795,Steamship,N Atlantic Ocean: Scotland to Iceland Admiralty Chart,23/11/1940,56.75,-18.4,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 394.",1940
Matheran (SS),W09862,Steamship,N Atlantic Ocean: Scotland to Iceland Admiralty Chart,19/10/1940,56.75,-16.8,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 460-1; BVLS 1939-45, 12.",1940
Wandby (SS),W11684,Unknown,N Atlantic Ocean: Scotland to Iceland Admiralty Chart,19/10/1940,56.75,-17.11667,wrecksite.eu: BVLS 1939-1945,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 12.",1940
King Idwal (SS),W09789,Steamship,W Approaches to the British Isles Admiralty Chart,23/11/1940,56.73333,-19.21667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 384; BVLS 1939-45, 13.",1940
Fanad Head (SS),W09653,Steamship,"W Approaches to the British Isles Admiralty Chart / 56 43N, 15 21W",14/09/1939,56.7175,-15.35056,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 237; BVLS 1939-45, 1; Lloyd’s List, No. 38, 960, Mon. 18th Sept. 1939, 4 c.33; Lloyd’s List, No. 38, 986, Wed. 18th Oct. 1939, 4 c.31.",1939
City of Benares (SS),W09548,Steamship,"Tory Island, 515 miles WNW of",18/09/1940,56.71667,-21.25,wrecksite.eu; BVLS 1939-1945,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 144; BVLS 1939-45, 10; Lloyd's List 39, 271, Thursday 19th September 1940; Lloyd's List 39, 271, Thursday 19th September 1940; Lloyd's List 39, 274, Monday 23rd September 1940; Lloyd's List 39, 275, Tuesday 24th September 1940; Lloyd's List 39, 276, Wednesday 25th September 1940; Lloyd's List 30, 278, Friday 27th September 1940; Lloyd's List 39, 279, Saturday 28th September 1940; Lloyd's List 39, 283, Thursday 3rd October 1940.",1940
Empire Volunteer (SS),W09630,Steamship,"Tory Island, 280 miles WNW of",15/09/1940,56.71667,-15.28333,wrecksite.eu; BVLS 1939-1945,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 221; BVLS 1939-45, 10; Lloyd's List 39, 270, Wednesday, 18th September 1940.",1940
Unknown,W10414,Unknown,unknown,Unknown,56.66701,-14.45248,GSI,We regret that we are unable to supply descriptive details for this record at present.,,
Wreck,W11698,Unknown,Outer Approaches to the N Channel Admiralty Chart,Unknown,56.667,-14.453,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,
Port Gisbourne (MV),W09958,Motor-ship,W Approaches to the British Isles Admiralty Chart,11/10/40,56.63333,-16.66667,wrecksite.eu; BVLS 1939-1945,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 560; BVLS 1939-45, 11.",1940
Whitford Point (SS),W11691,Steamship,W Approaches to the British Isles Admiralty Chart,20/10/1940,56.63333,-16,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 757; BVLS 1939-45, 12.",1940
Yorkmar (SS),W11703,Steamship,"W approaches to the British Isles, (Admiralty Chart)",9/10/43,56.63333,-20.5,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 772.",1943
Caprella (MV),W09522,Tanker,W Approaches to the British Isles Admiralty Chart,20/10/1940,56.61667,-17.25,uboat.net,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 121; BVLS 1939-45, 12.",1940
Cordelia (MV),W09564,Tanker,W Approaches to the British Isles Admiralty Chart,23/02/1943,56.61667,-22.96667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 162; BVLS 1939-45, 45.",1943
Thiara (MV),W10090,Motor-ship,"W Approaches to the British Isles Admiralty Chart / 56 37N, 17 56W",27/07/1940,56.61667,-17.93333,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 697; BVLS 1939-45, 8.",1940
Uganda (SS),W10270,Steamship,"Arranmore Island, 310nm WNW",19/10/1940,56.61667,-17.25,"BVLS 1939-45, 12",We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 12.",1940
Sambre (SS),W12424,Steamship,Unknown,27/07/1940,56.61667,-17.88333,BVLS 1939-1945,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 8.",1940
Janus MV,W09764,Tanker,Outer Approaches to the N Channel Admiralty Chart,20/10/1940,56.6,-15.05,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 356.",1940
Bilderdijk (SS),W09472,Steamship,W Approaches to the British Isles Admiralty Chart,19/10/1940,56.58333,-17.25,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 85.",1940
Inverilen (MV),W09747,Tanker,W Approaches to the British Isles Admiralty Chart,3/2/43,56.58333,-23.5,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 344; BVLS 1939-45, 45.",1943
U-265,W10130,Submarine,W Approaches to the British Isles Admiralty Chart,3/2/43,56.58333,-22.81667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1943
Adamas (SS),W09376,Merchant Vessel,W Approaches to the British Isles Admiralty Chart,8/2/43,56.56667,-23.36667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 5.",1943
Irene Maria (SS),W09751,Steamship,Outer Approaches to the N Channel Admiralty Chart,27/11/1940,56.55,-14.6,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 347.",1940
Zagloba (SS),W11706,Steamship,W Approaches to the British Isles Admiralty Chart,6/2/43,56.53333,-16,uboat.net,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 776.",1943
Kotka (SS),W09796,Steamship,Outer Approaches to the N Channel Admiralty Chart,21/07/1956,56.51667,-12.08333,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1956
Bullmouth (SS),W09500,Steamship,"Tory Island, Co Donegal, 125 miles NW / Outer Approaches to the N Channel Admiralty Chart",28/04/1917,56.5,-11.33333,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1914-18, 46.",1917
Daydawn (SS),W09585,Steamship,Outer Approaches to the N Channel Admiralty Chart,21/11/1940,56.5,-14.16667,wrecksite.eu; BVLS 1939-1945,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 13.",1940
Empire Claire (SS) (Sandcastle),W09621,Unknown,Unknown,27/09/1955,56.5,-12,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1955
Vogtland (MV) (Sandcastle),W11677,Unknown,Unknown,30/05/1956,56.5,-12,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1956
Oropesa (II) (SS),W07534,Liner,"Bloody Foreland, c.100 miles NW of",16/01/1941,56.46667,-12,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 15; DOD 1990 Ed., 530; Merchant Fleets No 8, Pacific Steam Nav Co. Haws, D., 78; Hocking, 1969, 530; Larn & Larn 2002; LCWLR 1939-45, 179; SRN Vol 2, 167.",1941
Albionic (SS),W09381,Steamship,Outer Approaches to the N Channel Admiralty Chart,11/9/40,56.46667,-12,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,www.wrecksite.eu.,1940
Sylvanian (SS),W10079,Steamship,"Tory Island, Co Donegal, 170 miles NW / Outer Approaches to the N Channel Admiralty Chart",24/06/1917,56.45,-12.95,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1914-18, 56.",1917
Bengore Head (SS),W12583,Steamship,"56 26 N, 17 12 W",5/9/01,56.43333,-17.2,,We regret that we are unable to supply descriptive details for this record at present.,"PP 1903, LXIII, 157.",1901
Newton Ash (SS),W09901,Steamship,W Approaches to the British Isles Admiralty Chart,8/2/43,56.41667,-22.43333,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 502; BVLS 1939-45, 45.",1943
Unknown,W11005,Unknown,Unknown,Unknown,56.38333,-11.95,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Wreck,W11697,Unknown,Outer Approaches to the N Channel Admiralty Chart,Unknown,56.38333,-11.95,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,
Clytoneus (MV),W12440,Motor Boat,Unknown,8/1/41,56.38333,-15.46667,BVLS 1939-1945,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 15.",1941
Juteopolis,W12619,Ship,"56 23 N, 20 20 W",02/10/1897,56.38333,-20.33333,,We regret that we are unable to supply descriptive details for this record at present.,"PP 1899, LXXXVII, 163.",1897
Ruperra (SS) (alternative 1 of 2),W09991,Steamship,W Approaches to the British Isles Admiralty Chart,19/10/1940,56.35,-16.41667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 602; BVLS 1939-45, 12.",1940
Unknown,W15602,Unknown,"Tory Island, 445 miles WNW of",24/09/1923,56.35,-19.46667,Lloyd's List (submerged wreck),We regret that we are unable to supply descriptive details for this record at present.,"Lloyd's List 34, 057, Monday 1st October 1923.",1923
Har Zion (SS),W07359,Steamship,"Malin Head, Co Donegal, 110 miles NW of",31/08/1940,56.33333,-10,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"The World’s Merchant Fleets 1939, Jordan, R. 1999, 169 & 498; Larn & Larn 2002 ASS, 27; BVLS 1939-45, 9; LCWLR 1939-45, 120; SIC Vol 1, 220; Hocking 1989, 299; Lloyd's List 39, 261, Saturday 7th September 1940.",1940
Pacific Ranger (MV),W09936,Unknown,Outer Approaches to the N Channel Admiralty Chart,12/10/40,56.33333,-11.71667,wrecksite.eu; BVLS 1939-1945,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 11.",1940
Unknown,W11004,Unknown,Unknown,Unknown,56.31805,-10.37195,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Unknown,W11009,Unknown,Unknown,Unknown,56.29167,-10.30833,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Armadale,W07139,Liner,"Tory Island, Co Donegal, 160 miles NW of",27/06/1917,56.28333,-12.7,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking, 1969, 47; BVLS 1914-18, 57; BVCDE, 40p.",1917
Mountpark (SS),W09887,Steamship,Outer Approaches to the N Channel Admiralty Chart,26/04/1941,56.28333,-12.35,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 487; BVLS 1939-45, 21.",1941
Victoria (SS),W11667,Steamship,Outer Approaches to the N Channel Admiralty Chart,21/11/1940,56.28333,-14.2,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1940
Hansa,W09712,Fishing boat,"Horn Head, 330km WNW",5/3/01,56.26333,-13.16167,www.wrecksite.eu,"Fishing boat
----------------------------",www.wrecksite.eu,2001
Aburi,W07093,Liner,"Tory Island, Co Donegal, 125 miles NW of",17/04/1917,56.25,-12.5,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking, 1969, 3; BVLS 1914-18, 43.",1917
Boekelo,W09477,Steamship,Outer approaches to the N channel,19/10/1940,56.23333,-10.63333,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 92.",1940
U-295,W10215,Submarine,Outer approaches to the N channel,17/12/1945,56.23333,-10.61667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1945
U-368,W10225,Submarine,Outer approaches to the N channel,17/12/1945,56.23333,-10.61667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1945
Harold (SV),W07361,Barque,"Tory Island, Co Donegal, 65 miles NNW ½ W of",21/07/1917,56.22028,-9.12944,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"PP 1919, Vol. LXII, 60; Hocking 1989, 302.",1917
Baron Ogilvy (SS),W09443,Steamship,"Tory Island, Co Donegal, 172 miles NW / Outer Approaches to the N Channel Admiralty Chart",27/06/1917,56.21667,-13.66667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1914-18, 57.",1917
Chinese Prince (MV),W09542,Merchant Vessel,Outer Approaches to the N Channel Admiralty Chart,12/6/41,56.2,-14.3,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 137; BVLS 1939-45, 24.",1941
Dunmore Head (SS),W09600,Steamship,"Tory Island, Co Donegal, 135 miles NW of",27/04/1917,56.2,-12,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1914-18, 46.",1917
Mabriton (SS),W09842,Steamship,W Approaches to the British Isles Admiralty Chart,25/09/1940,56.2,-23,wrecksite.eu; BVLS 1939-1945,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 439; BVLS 1939-45, 10.",1940
Sebek (SS),W10029,Steamship,"Tory Island, Co Donegal, 145 miles NW / Outer Approaches to the N Channel Admiralty Chart",21/04/1917,56.2,-12.33333,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1914-18, 45.",1917
U-2328,W10193,Submarine,Outer approaches to the N channel,27/11/1945,56.2,-9.8,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,1945
Unknown,W10432,Unknown,Unknown,Unknown,56.19472,-9.85612,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Coronda (SS),W07239,Steamship,"Tory Island, Co Donegal, 180 miles NW of",13/03/1917,56.18333,-13.06667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking, 1969, 164; BVLS 1914-18, 37.",1917
U-481,W10232,Submarine,Outer approaches to the N channel,30/11/1945,56.18333,-10,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1945
Unknown,W10433,Unknown,Unknown,Unknown,56.17528,-9.67362,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,
Southland (SS),W07616,Steamship,"Tory Island, Co Donegal, 140 miles NW by W of",4/6/17,56.16667,-12.23333,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Larn & Larn 2002 LCWLR 1914-18, 140; BMS 1914-18, 138; LR 1916-7 No 1701(S); BVLS 1914-8, 53.",1917
Ampleforth (SS),W09392,Merchant Vessel,"Tory Island, 98nm NW",18/08/1940,56.16667,-10.66667,"BVLS 1939-1945, 9",We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-1945, 9; Hocking 1989, 30.",1940
Bold Venture (SS),W09479,Steamship,W Approaches to the British Isles Admiralty Chart,17/10/1941,56.16667,-24.5,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 92.",1941
Erviken (SS),W09644,Steamship,W Approaches to the British Isles Admiralty Chart,17/10/1941,56.16667,-24.5,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 227.",1941
Heina (MV),W09721,Steamship,W Approaches to the British Isles Admiralty Chart,11/2/42,56.16667,-21.11667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 310.",1942
Mosfruit (MV),W09882,Motor-ship,W Approaches to the British Isles Admiralty Chart,30/06/1942,56.16667,-23.66667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 486.",1942
Sigyn (SS),W10037,Steamship,Unknown,1/8/40,56.16667,-9.41667,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1940
Silverpalm (MV),W10038,Motor-ship,W Approaches to the British Isles Admiralty Chart,12/6/41,56.16667,-24.5,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 647.",1941
Spikenard (HMCS),W10053,Corvette,W Approaches to the British Isles Admiralty Chart,11/2/42,56.16667,-21.11667,uboat.net,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 18.",1942
U-1002,W10150,Submarine,"Tory Island, 83nm NW of",13/12/1945,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
----------------------------",UKHO,1945
U-1004,W10151,Submarine,"Tory Island, 83nm NW of",1/12/45,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
----------------------------",UKHO,1945
U-1061,W10162,Submarine,"Tory Island, 83nm NW of",1/12/45,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,1945
U-1104,W10165,Submarine,Outer approaches to the N Channel,1/12/45,56.16667,-10.08333,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1945
U-2321,W10189,Submarine,"Tory Island, 83nm NW of",27/11/1945,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,1945
U-2322,W10190,Submarine,"Tory Island, 83nm NW of",27/11/1945,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,1945
U-2324,W10191,Submarine,"Tory Island, 83nm NW of",27/11/1945,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,1945
U-2325,W10192,Submarine,"Tory Island, 83nm NW of",28/11/1945,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,1945
U-2329,W10194,Submarine,"Tory Island, 83nm NW ofl",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
U-2334,W10195,Submarine,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
U-2335,W10196,Submarine,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
U-2337,W10198,Submarine,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
U-2345,W10200,Submarine,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
U-2350,W10201,Submarine,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
U-2361,W10204,Submarine,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
U-2363,W10205,Submarine,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
U-249,W10207,Submarine,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
U-483,W10233,Submarine,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
U-485,W10234,Submarine,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
U-739,W10243,Submarine,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
U-773,W10246,Submarine,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
U-826,W10253,Submarine,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
U-978,W10262,Submarine,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
U-991,W10264,Submarine,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
U-992,W10265,Submarine,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
Unknown,W11591,Unknown,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
Unknown,W11601,Unknown,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
Unknown,W11608,Unknown,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
Unknown,W11613,Unknown,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
----------------------------",UKHO,
Unknown,W11619,Unknown,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
Unknown,W11620,Unknown,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
----------------------------",UKHO,
Unknown,W11622,Unknown,"Tory Island, 83nm NW of",Unknown,56.16667,-10.08333,UKHO,"Operation Deadlight submarine.
---------------------------",UKHO,
Scottish Minstrel (MV),W07602,Tanker,"Tory Island, Donegal, 128km NW",17/07/1940,56.16028,-9.54638,UKHO Wreck Data,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 8; Larn & Larn 2002; Hocking 1969, 628; Lloyd's List 39, 216, Wednesday, 17th July 1940; Lloyd's List 39, 217, Thursday, 18th July 1940; UKHO Wreck Data; www.uboat.net.",1940
Astra II (SS),W09426,Steamship,Outer Approaches to the N Channel Admiralty Chart,29/08/1940,56.15,-12.23333,wrecksite.eu; BVLS 1939-1945,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 54.",1940
Fellside (SS),W09659,Steamship,"Outer Approaches to the N Channel Admiralty Chart / 56 9N, 12 30W",17/07/1940,56.15,-12.5,wrecksite.eu; BVLS 1939-1945,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 240; BVLS 1939-45, 8.",1940
Unknown,W10352,Unknown,Unknown,Unknown,56.14538,-9.07686,GSI,We regret that we are unable to supply descriptive details for this record at present.,,
Memphis (SS),W09865,Steamship,"Tory Island, 123km NW by W",28/02/1941,56.13333,-9.46667,www.wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 466; www.wrecksite.eu",1941
U-532 (Deadlight),W10137,Submarine,Unknown,9/12/45,56.13333,-10.11667,UKHO,We regret that we are unable to supply descriptive details for this record at present.,,1945
Nidardal (SS),W09903,Steamship,W Approaches to the British Isles Admiralty Chart,16/12/1941,56.11667,-21,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1941
Alida Gorthon (SS),W09385,Steamship,Outer Approaches to the N Channel Admiralty Chart,29/08/1940,56.1,-13.2,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 23.",1940
Dalblair (SS),W09576,Steamship,Outer Approaches to the N Channel Admiralty Chart,29/08/1940,56.1,-13.55,wrecksite.eu; BVLS 1939-1945,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 9.",1940
