OID,Type,Date,Author,Origin,Addressee,Destination,Repositories & Versions
74,Letter,20 October 1629,"Winthrop, John, 1588-1649","London, England, United Kingdom","Winthrop, Margaret, 1591-1647","Groton, Suffolk, England",1 printed edition
75,Letter,22 October 1629,"Winthrop, John, 1588-1649","London, England, United Kingdom","Winthrop, Margaret, 1591-1647","Groton, Suffolk, England",1 printed edition
78,Letter,11 November 1629,"Winthrop, John, 1588-1649","London, England, United Kingdom","Winthrop, Margaret, 1591-1647","Groton, Suffolk, England",1 printed edition
82,Letter,24 November 1629,"Winthrop, John, 1588-1649","London, England, United Kingdom","Winthrop, Margaret, 1591-1647","Groton, Suffolk, England",1 printed edition
83,Letter,7 January 1630,"Winthrop, John, 1588-1649","London, England, United Kingdom","Winthrop, Margaret, 1591-1647","Groton, Suffolk, England",1 printed edition
87,Letter,5 February 1630,"Winthrop, John, 1588-1649","London, England, United Kingdom","Winthrop, Margaret, 1591-1647","Groton, Suffolk, England",1 printed edition
88,Letter,8 February 1630,"Winthrop, John, 1588-1649","London, England, United Kingdom","Spring, William (Sir), d.1654","Suffolk, England, United Kingdom",1 printed edition
89,Letter,11 February 1630,"Winthrop, John, 1588-1649","London, England, United Kingdom","Winthrop, Margaret, 1591-1647","Groton, Suffolk, England",1 printed edition
91,Letter,14 February 1630,"Winthrop, John, 1588-1649","London, England, United Kingdom","Winthrop, Margaret, 1591-1647","Groton, Suffolk, England",1 printed edition
94,Letter,1 March 1630,"Winthrop, John, 1588-1649","London, England, United Kingdom","Winthrop, Margaret, 1591-1647","Groton, Suffolk, England",1 printed edition
96,Letter,10 March 1630,"Winthrop, John, 1588-1649","London, England, United Kingdom","Winthrop, Margaret, 1591-1647","Groton, Suffolk, England",1 printed edition
113,Letter,28 March 1631,"Winthrop, John, 1588-1649","Massachusetts, United States","Winthrop, John, 1606-1676","London, England, United Kingdom",1 printed edition
146,Letter,8 November 1638,"Winthrop, John, 1588-1649","Salem, Massachusetts, United States","Winthrop, Margaret, 1591-1647","Boston, Massachusetts, United States",1 printed edition
97,Letter,14 March 1630,"Winthrop, John, 1588-1649","Southampton, Hampshire, England","Winthrop, John, 1606-1676","Fleet Street, London, Greater London, England, United Kingdom",1 printed edition
40,Letter,26 September 1626,"Winthrop, John, 1588-1649","Sudbury, Suffolk, England","Winthrop, Margaret, 1591-1647","Great Maplested, Essex, England",1 printed edition
102,Letter,3 April 1630,"Winthrop, John, 1588-1649","Yarmouth, Isle of Wight, England","Winthrop, Margaret, 1591-1647","Groton, Suffolk, England",1 printed edition
103,Letter,5 April 1630,"Winthrop, John, 1588-1649","Yarmouth, Isle of Wight, England","Winthrop, John, 1606-1676","Groton, Suffolk, England",1 printed edition
